jee_main_score,jee_advanced_score,mock_test_score_avg,school_board,class_12_percent,attempt_count,coaching_institute,daily_study_hours,family_income,parent_education,location_type,peer_pressure_level,mental_health_issues,admission_taken,dropout
85.49,79.27,64.87,CBSE,70.05,2,Allen,4.7,Mid,12th,Urban,Low,No,No,0
100.0,55.89,68.11,State,62.16,2,None,7.8,Mid,PG,Rural,Low,Yes,Yes,0
64.2,70.66,71.64,CBSE,91.27,1,None,10.0,Mid,Graduate,Rural,High,Yes,No,0
52.82,60.18,60.93,ICSE,86.07,2,FIITJEE,5.4,Low,12th,Urban,Medium,No,No,1
70.76,63.06,70.31,CBSE,77.12,1,None,5.6,Mid,Upto 10th,Semi-Urban,Low,Yes,Yes,0
100.0,26.19,66.27,CBSE,75.34,2,None,6.0,High,PG,Rural,Medium,No,Yes,0
60.75,62.45,66.87,CBSE,79.4,1,None,4.5,High,Graduate,Rural,Medium,Yes,No,0
94.95,81.51,70.18,State,76.95,2,FIITJEE,6.8,Mid,PG,Rural,Medium,Yes,No,0
95.49,55.9,52.24,State,67.08,2,None,6.5,High,Upto 10th,Rural,Low,Yes,No,0
64.25,66.84,68.47,ICSE,70.88,1,Local,5.2,High,12th,Urban,Medium,Yes,Yes,0
79.97,53.9,69.96,State,94.61,2,FIITJEE,3.9,Low,12th,Urban,High,Yes,Yes,0
94.8,71.77,69.55,CBSE,100.0,2,Local,1.5,Mid,Upto 10th,Urban,High,Yes,No,1
66.69,62.54,65.41,State,90.63,2,Allen,6.0,Mid,Graduate,Urban,High,No,Yes,0
69.15,50.97,81.65,State,79.78,2,FIITJEE,4.9,High,Graduate,Rural,Low,No,No,0
63.86,87.32,63.76,CBSE,71.62,1,Local,3.0,Mid,PG,Semi-Urban,High,No,Yes,0
57.79,80.86,70.73,ICSE,67.02,1,FIITJEE,2.2,Mid,Upto 10th,Semi-Urban,Medium,Yes,Yes,0
62.91,56.32,83.57,State,67.68,1,None,5.8,High,Upto 10th,Urban,Low,Yes,No,0
54.86,73.96,67.05,ICSE,69.47,1,FIITJEE,1.3,High,Graduate,Rural,Low,No,Yes,0
72.48,74.6,70.57,CBSE,96.51,1,Allen,5.1,Mid,Upto 10th,Urban,Medium,Yes,Yes,0
61.22,76.28,66.84,State,93.06,1,Local,6.2,Low,12th,Semi-Urban,High,No,Yes,0
75.27,38.89,82.85,ICSE,82.46,1,FIITJEE,5.6,High,Graduate,Urban,Medium,No,No,0
50.22,82.11,64.91,ICSE,65.39,1,None,3.7,Mid,Graduate,Rural,Medium,No,Yes,0
76.63,56.88,83.4,CBSE,83.93,2,Local,2.0,High,12th,Rural,Low,Yes,No,0
83.67,60.27,66.76,State,72.61,2,Local,5.7,Mid,Upto 10th,Rural,High,No,Yes,0
44.09,100.0,57.69,ICSE,53.47,1,Local,6.9,Mid,Graduate,Urban,High,Yes,No,0
77.24,70.83,76.15,ICSE,77.87,1,Allen,3.4,Low,Graduate,Semi-Urban,High,No,Yes,0
89.19,59.82,64.34,ICSE,66.58,1,None,5.5,High,Graduate,Rural,Medium,Yes,Yes,0
55.07,30.72,75.45,ICSE,66.92,2,None,7.7,Low,Upto 10th,Semi-Urban,Low,Yes,Yes,0
95.42,88.24,35.25,ICSE,72.5,1,Local,5.2,High,Graduate,Semi-Urban,Low,No,No,0
77.87,44.48,68.06,ICSE,70.02,1,FIITJEE,3.7,Low,Upto 10th,Urban,Low,Yes,Yes,0
62.13,49.94,62.48,ICSE,74.66,1,Local,6.6,High,PG,Urban,High,Yes,No,0
71.22,60.7,55.24,ICSE,74.18,1,None,3.0,Low,12th,Semi-Urban,High,No,No,1
79.82,88.66,61.36,ICSE,56.24,2,Allen,1.9,Low,Upto 10th,Rural,Low,No,No,1
73.06,78.37,61.12,ICSE,90.2,1,Allen,6.1,High,Upto 10th,Rural,Medium,No,Yes,0
79.54,63.47,67.42,State,65.17,2,Local,3.7,Low,12th,Urban,Low,Yes,Yes,0
59.11,70.93,51.59,CBSE,65.48,2,Allen,3.9,Low,Upto 10th,Rural,Medium,No,Yes,0
74.37,56.39,71.8,CBSE,71.71,2,Allen,3.2,High,12th,Semi-Urban,Low,Yes,Yes,0
52.21,68.23,84.39,CBSE,73.92,1,FIITJEE,3.6,High,PG,Rural,Medium,No,No,0
70.44,67.17,71.37,ICSE,89.59,2,Allen,7.3,Mid,Graduate,Urban,Low,No,No,0
59.35,81.5,77.71,CBSE,77.69,1,FIITJEE,7.8,High,12th,Semi-Urban,High,No,Yes,0
61.7,81.47,81.13,ICSE,80.66,1,Local,8.1,Mid,12th,Semi-Urban,High,No,No,0
89.31,73.9,82.84,State,77.75,1,None,6.7,Low,Graduate,Rural,High,Yes,No,1
87.28,60.2,90.44,CBSE,77.31,1,None,5.4,High,Graduate,Rural,High,Yes,No,0
80.53,77.87,62.01,State,78.1,1,FIITJEE,1.6,Mid,Upto 10th,Semi-Urban,Low,Yes,Yes,0
56.71,64.53,59.38,State,55.67,1,None,4.1,High,Upto 10th,Urban,High,No,No,0
67.57,48.69,77.4,ICSE,72.5,1,Local,8.8,Mid,Upto 10th,Urban,Medium,Yes,Yes,0
88.98,59.55,76.5,CBSE,86.62,1,None,3.6,Mid,Graduate,Rural,Medium,Yes,Yes,0
73.98,67.35,77.31,State,100.0,2,Allen,7.5,High,Graduate,Urban,High,Yes,Yes,0
100.0,80.56,90.67,CBSE,62.96,1,Local,4.6,Low,Graduate,Semi-Urban,High,Yes,No,1
77.51,63.06,68.14,State,79.23,2,Local,0.0,Low,Upto 10th,Urban,High,Yes,No,1
74.69,46.65,73.11,State,69.29,1,None,5.8,Mid,Graduate,Semi-Urban,Low,No,Yes,0
67.67,66.91,56.24,ICSE,95.48,2,None,7.0,Mid,Graduate,Rural,Medium,Yes,No,0
73.87,67.82,93.62,CBSE,61.46,2,FIITJEE,4.4,Low,PG,Urban,Medium,Yes,Yes,0
69.87,68.97,63.96,ICSE,81.25,1,Allen,7.0,High,12th,Semi-Urban,Medium,No,Yes,0
81.91,80.72,64.3,ICSE,60.93,2,None,1.2,High,12th,Rural,Low,Yes,Yes,0
85.39,82.3,63.84,ICSE,71.81,1,None,1.7,Low,Graduate,Semi-Urban,Low,No,Yes,0
61.0,56.49,60.26,ICSE,74.66,2,FIITJEE,4.9,Low,Upto 10th,Urban,Medium,Yes,No,1
53.36,56.14,59.25,ICSE,85.7,1,None,5.5,Low,PG,Semi-Urban,Medium,Yes,Yes,0
46.29,49.36,61.72,State,64.23,2,Allen,7.2,Mid,PG,Rural,Medium,Yes,Yes,1
79.11,77.18,51.61,CBSE,81.63,2,Allen,5.8,Low,12th,Rural,High,No,No,1
56.55,89.18,58.58,CBSE,75.19,1,Local,2.1,Low,PG,Urban,Low,Yes,No,1
41.86,60.96,91.39,ICSE,77.73,2,Local,4.9,Low,PG,Rural,Medium,No,No,1
77.44,62.14,76.83,CBSE,84.58,1,Allen,5.7,Low,PG,Urban,High,No,Yes,0
100.0,89.47,79.11,State,62.17,1,FIITJEE,0.8,High,Graduate,Rural,Medium,Yes,Yes,0
71.92,74.09,82.13,ICSE,83.11,2,Local,4.4,High,12th,Urban,Medium,Yes,Yes,0
83.74,72.98,90.01,State,69.31,2,Allen,3.8,Low,12th,Rural,Low,Yes,No,1
73.15,46.95,46.74,State,85.96,2,Allen,3.2,Mid,Upto 10th,Urban,Medium,No,Yes,0
70.62,76.86,53.24,ICSE,78.35,1,Local,5.5,Mid,Graduate,Semi-Urban,Low,Yes,No,0
84.87,51.13,58.36,State,72.9,1,Allen,2.2,High,PG,Semi-Urban,Low,No,No,0
67.94,47.86,62.36,ICSE,69.1,1,Allen,5.3,Mid,Graduate,Urban,Medium,No,Yes,0
75.74,60.45,64.39,State,83.23,1,Allen,5.6,Mid,PG,Rural,High,Yes,Yes,0
76.5,56.63,62.64,CBSE,87.61,2,Allen,6.7,High,PG,Rural,Medium,No,No,0
62.65,62.45,70.63,CBSE,69.67,1,Local,2.3,Low,Upto 10th,Urban,Medium,No,No,1
85.89,42.94,68.42,CBSE,63.67,1,FIITJEE,1.5,Low,Upto 10th,Rural,Medium,Yes,No,1
69.55,81.34,59.33,ICSE,81.94,2,Allen,5.1,High,Upto 10th,Urban,High,Yes,Yes,0
61.42,84.04,41.89,State,60.51,2,None,3.9,Low,PG,Semi-Urban,Low,No,No,1
79.51,34.84,56.09,State,61.94,2,FIITJEE,10.0,Low,PG,Urban,High,Yes,No,1
59.42,81.66,61.41,CBSE,64.37,1,None,5.4,High,Graduate,Rural,High,No,Yes,0
72.39,53.03,65.04,CBSE,70.85,2,None,4.6,High,12th,Rural,Medium,No,No,0
71.87,79.71,54.44,ICSE,61.64,2,Allen,4.2,High,PG,Urban,Medium,No,Yes,0
87.2,64.9,62.11,ICSE,55.61,1,Local,2.1,Mid,Graduate,Urban,High,No,No,0
78.65,66.46,54.43,State,63.65,1,None,5.6,High,Graduate,Urban,Low,No,No,0
71.65,63.04,66.49,ICSE,81.42,1,None,4.3,High,PG,Urban,Low,Yes,Yes,0
83.45,85.39,55.12,ICSE,62.28,1,None,4.3,High,PG,Semi-Urban,Medium,Yes,Yes,0
91.46,46.17,57.81,ICSE,71.6,2,Allen,4.7,High,Upto 10th,Rural,Low,No,No,0
79.81,75.73,52.3,CBSE,94.47,1,Allen,4.9,Low,Upto 10th,Rural,Low,Yes,Yes,0
72.14,83.62,66.16,CBSE,74.51,2,Local,1.0,High,Upto 10th,Urban,Low,Yes,Yes,0
53.63,77.46,57.6,State,78.43,2,Allen,6.2,High,Graduate,Urban,High,Yes,No,0
57.09,100.0,78.88,ICSE,65.54,1,FIITJEE,2.8,Mid,Upto 10th,Urban,High,Yes,No,0
67.73,57.54,72.87,CBSE,96.63,1,Local,4.2,Mid,PG,Semi-Urban,Medium,No,No,0
63.47,81.32,67.16,ICSE,69.59,1,Allen,7.1,Low,Upto 10th,Semi-Urban,Low,No,Yes,0
69.38,64.3,58.43,State,72.72,1,Allen,8.1,High,PG,Urban,Medium,Yes,Yes,0
72.79,85.73,72.57,ICSE,88.17,2,None,1.1,High,PG,Rural,High,No,No,1
79.42,65.88,76.29,State,73.18,1,Allen,4.6,High,12th,Semi-Urban,Medium,No,Yes,0
71.01,59.79,69.71,State,75.48,1,None,5.0,Mid,12th,Rural,High,No,No,0
78.81,86.9,87.24,CBSE,72.18,2,Allen,1.5,Low,Upto 10th,Semi-Urban,High,No,Yes,1
72.9,58.14,73.52,ICSE,72.25,2,Allen,6.1,Mid,PG,Urban,Medium,No,No,0
44.34,43.4,78.96,CBSE,78.71,2,Allen,4.7,High,12th,Urban,Low,Yes,Yes,1
58.85,57.73,69.6,ICSE,80.53,1,Allen,4.9,Mid,Graduate,Rural,Medium,No,Yes,0
69.98,75.9,76.11,ICSE,68.57,2,Allen,2.7,High,12th,Urban,Low,No,No,0
55.06,88.27,58.44,State,67.34,2,Local,5.3,High,Upto 10th,Rural,Medium,No,Yes,0
80.4,67.78,62.5,State,68.91,2,Allen,6.2,High,Graduate,Urban,Medium,Yes,Yes,0
93.43,87.09,72.19,ICSE,60.99,1,Allen,4.8,Low,Graduate,Urban,Medium,Yes,No,1
89.06,44.27,72.11,CBSE,59.1,2,None,3.5,Mid,PG,Rural,High,No,No,0
69.01,58.91,74.09,State,77.97,1,FIITJEE,3.6,High,PG,Urban,Medium,No,No,0
92.87,61.38,81.2,State,84.39,2,FIITJEE,4.9,High,PG,Semi-Urban,High,Yes,Yes,0
74.08,64.17,50.9,ICSE,83.71,2,Local,4.6,Low,PG,Urban,High,No,Yes,0
67.28,67.35,56.31,ICSE,51.18,2,Allen,6.3,Low,12th,Rural,High,Yes,Yes,0
63.41,77.05,70.75,State,72.55,2,FIITJEE,3.5,High,Upto 10th,Urban,Medium,No,No,0
67.77,58.88,59.31,CBSE,63.98,2,None,2.1,High,Upto 10th,Semi-Urban,Medium,No,No,0
66.57,68.22,100.0,State,76.44,2,None,5.2,High,PG,Urban,Medium,No,No,0
74.39,65.28,74.19,ICSE,70.82,1,Local,3.5,High,12th,Urban,Medium,No,Yes,0
74.25,51.19,67.06,State,80.92,1,None,6.1,Low,12th,Semi-Urban,High,Yes,No,1
72.04,64.18,61.81,ICSE,74.81,1,FIITJEE,4.5,Mid,12th,Urban,Low,No,Yes,0
78.12,63.7,62.24,State,56.04,2,FIITJEE,5.8,Low,Upto 10th,Urban,Low,Yes,Yes,0
88.67,63.36,68.36,ICSE,65.33,1,FIITJEE,2.5,Low,PG,Rural,High,Yes,Yes,0
85.29,66.51,69.34,ICSE,75.06,2,Allen,4.8,Mid,12th,Rural,High,Yes,No,0
51.21,67.21,62.52,CBSE,75.9,1,None,3.1,High,12th,Rural,Low,Yes,Yes,0
36.25,59.08,64.72,ICSE,60.94,2,None,2.1,High,PG,Rural,Low,Yes,Yes,0
85.08,86.36,84.13,State,59.64,1,Allen,2.8,Mid,12th,Semi-Urban,Low,No,No,0
52.86,47.29,84.61,ICSE,75.56,2,FIITJEE,3.4,Low,Upto 10th,Rural,Low,Yes,No,1
68.85,54.46,71.02,State,60.96,2,None,7.0,High,Graduate,Rural,Low,Yes,No,0
55.62,100.0,51.9,CBSE,58.31,1,FIITJEE,3.4,Mid,Upto 10th,Urban,Medium,No,No,0
46.77,49.39,74.46,State,70.55,2,Allen,2.0,Mid,PG,Semi-Urban,Low,Yes,Yes,1
79.58,44.34,86.65,CBSE,70.12,1,FIITJEE,4.8,Mid,PG,Semi-Urban,Medium,Yes,Yes,0
82.63,77.75,84.44,CBSE,66.22,1,Local,4.6,High,Upto 10th,Rural,Medium,No,No,0
63.93,32.77,76.81,ICSE,67.96,1,Allen,3.5,Mid,Graduate,Urban,High,Yes,Yes,0
35.73,62.24,85.07,CBSE,75.14,1,FIITJEE,4.2,Low,PG,Semi-Urban,High,Yes,No,1
64.35,100.0,68.64,State,67.8,2,Allen,6.5,Low,PG,Semi-Urban,Low,No,Yes,0
77.49,41.28,75.54,CBSE,75.71,1,None,5.8,Mid,Upto 10th,Rural,High,Yes,No,0
51.3,34.29,59.83,CBSE,71.2,2,Local,5.7,Mid,Graduate,Rural,Low,Yes,No,0
74.57,42.01,71.51,ICSE,76.68,2,Allen,2.1,Mid,Graduate,Rural,High,No,Yes,0
71.79,80.37,83.95,State,83.78,2,FIITJEE,10.0,Low,Graduate,Urban,High,No,Yes,0
80.11,84.0,60.93,CBSE,83.39,1,None,6.6,High,PG,Rural,Low,Yes,Yes,0
73.67,57.8,57.66,ICSE,87.88,2,FIITJEE,5.5,Low,Graduate,Semi-Urban,High,No,Yes,0
58.38,76.93,69.17,ICSE,83.38,2,FIITJEE,2.2,Mid,Upto 10th,Semi-Urban,Low,Yes,No,0
88.75,88.24,65.28,State,77.39,1,Allen,6.4,High,PG,Rural,High,Yes,Yes,0
69.78,94.6,75.79,ICSE,70.67,2,Allen,3.5,High,Graduate,Semi-Urban,Low,No,Yes,0
71.62,62.06,62.56,CBSE,71.12,2,FIITJEE,4.1,Mid,12th,Urban,Medium,Yes,No,0
58.93,29.18,88.62,ICSE,66.22,2,Allen,1.1,Mid,Graduate,Rural,Low,No,Yes,0
65.79,52.87,52.52,State,75.05,2,FIITJEE,2.0,Low,Graduate,Semi-Urban,High,No,No,1
59.61,59.17,83.04,State,81.97,2,Allen,5.4,Low,PG,Semi-Urban,Medium,No,Yes,0
69.58,61.86,58.82,ICSE,67.74,1,Local,6.5,Low,Upto 10th,Rural,Medium,No,Yes,0
95.96,62.99,46.45,CBSE,74.63,1,Allen,5.9,Mid,12th,Semi-Urban,Low,No,No,0
52.79,83.9,70.85,ICSE,68.23,1,FIITJEE,5.8,High,PG,Semi-Urban,Low,Yes,No,0
49.41,86.39,64.94,State,77.09,1,None,4.4,Low,Graduate,Rural,Medium,Yes,No,1
92.6,63.25,54.68,ICSE,69.51,1,Allen,3.7,Mid,PG,Urban,Low,Yes,No,0
69.07,83.58,47.82,ICSE,67.6,2,Local,5.1,High,PG,Semi-Urban,Low,No,Yes,0
62.63,71.72,67.9,CBSE,68.2,1,Local,6.1,Mid,12th,Urban,Low,No,Yes,0
86.56,67.03,79.71,ICSE,80.03,2,Local,4.5,Mid,Graduate,Urban,High,No,Yes,0
63.52,80.5,75.02,CBSE,74.03,2,Local,6.9,Mid,PG,Urban,High,No,Yes,0
97.56,67.16,68.68,ICSE,70.72,1,FIITJEE,4.1,Low,Upto 10th,Urban,Medium,No,No,1
81.49,98.92,73.75,ICSE,77.61,1,Local,2.5,Mid,12th,Urban,Medium,Yes,No,0
65.17,42.99,67.67,CBSE,70.85,2,None,4.5,Mid,PG,Semi-Urban,Medium,No,No,0
100.0,57.76,50.84,CBSE,86.27,2,Allen,4.7,Mid,12th,Semi-Urban,Low,No,No,0
63.52,63.98,50.95,State,65.26,1,Local,4.3,Low,PG,Urban,Low,No,Yes,0
82.39,73.03,65.56,CBSE,73.13,1,Allen,7.1,Mid,PG,Rural,Low,Yes,Yes,0
76.19,86.29,66.07,ICSE,60.95,2,FIITJEE,6.1,Mid,PG,Urban,Medium,Yes,No,0
90.22,65.61,78.21,State,71.53,2,Allen,1.6,Low,Upto 10th,Rural,Medium,Yes,Yes,0
93.86,43.24,77.09,CBSE,58.2,1,FIITJEE,7.6,Mid,Upto 10th,Semi-Urban,High,No,No,0
72.45,79.48,75.26,CBSE,82.46,1,FIITJEE,0.0,High,Upto 10th,Rural,Low,No,Yes,0
61.45,78.08,64.64,State,82.67,1,Allen,8.8,Mid,PG,Semi-Urban,Low,No,No,0
78.44,34.93,51.43,ICSE,82.84,2,Local,3.9,Mid,Upto 10th,Rural,High,Yes,Yes,0
62.51,65.94,72.94,ICSE,75.29,2,None,4.1,Low,12th,Urban,Medium,No,Yes,0
100.0,40.56,74.3,State,66.2,2,Allen,4.4,Low,Upto 10th,Semi-Urban,Medium,No,Yes,0
73.91,55.37,39.34,ICSE,67.0,2,None,5.3,Low,12th,Rural,Medium,Yes,No,1
66.89,51.56,57.99,CBSE,90.3,1,Allen,4.5,Low,Graduate,Urban,Low,Yes,No,1
74.59,78.95,59.71,ICSE,89.36,1,None,4.2,High,Graduate,Rural,High,Yes,No,0
53.14,67.87,69.42,CBSE,76.23,2,Allen,7.1,Mid,Upto 10th,Rural,High,Yes,Yes,0
58.4,45.43,58.36,ICSE,69.84,2,None,5.6,Mid,Upto 10th,Rural,Medium,Yes,Yes,0
88.81,80.08,67.54,CBSE,88.69,1,None,2.6,High,12th,Semi-Urban,Low,Yes,Yes,0
62.8,43.06,65.47,State,68.05,2,Allen,6.0,Low,PG,Semi-Urban,High,Yes,Yes,0
57.34,71.28,66.09,CBSE,77.29,1,Allen,5.5,Mid,12th,Urban,Low,Yes,Yes,0
79.51,52.98,59.4,ICSE,88.52,1,FIITJEE,3.4,High,Graduate,Rural,Medium,No,Yes,0
88.6,60.15,60.33,CBSE,66.64,2,None,6.1,Mid,PG,Rural,Medium,Yes,Yes,0
82.07,74.07,55.04,ICSE,83.29,2,Allen,4.2,High,12th,Semi-Urban,High,No,No,0
85.94,74.34,72.56,ICSE,80.21,1,Local,4.1,High,Upto 10th,Semi-Urban,Medium,Yes,No,0
61.4,87.39,74.85,CBSE,74.6,1,Local,4.0,Mid,Graduate,Rural,High,No,No,0
52.09,64.68,58.75,ICSE,65.07,2,FIITJEE,0.0,Low,Graduate,Rural,Medium,No,No,1
93.02,70.9,86.25,State,67.76,2,Local,3.4,Low,Upto 10th,Rural,High,No,Yes,0
67.48,59.0,64.22,ICSE,77.89,2,Allen,5.9,High,12th,Semi-Urban,Medium,No,Yes,0
68.49,68.91,86.36,State,60.77,1,None,4.5,Low,Upto 10th,Rural,Medium,Yes,No,1
90.59,73.03,60.29,State,76.31,2,Allen,1.9,Mid,12th,Rural,Low,Yes,Yes,0
79.79,64.43,43.68,ICSE,80.41,1,Local,6.4,High,Graduate,Semi-Urban,Low,No,Yes,0
78.38,37.14,72.83,State,84.85,1,Local,3.9,Mid,Upto 10th,Semi-Urban,Medium,No,Yes,0
100.0,71.3,70.98,State,61.02,2,Allen,2.1,Mid,Graduate,Semi-Urban,High,Yes,No,0
62.99,71.83,68.41,CBSE,88.16,1,FIITJEE,8.9,Low,Graduate,Semi-Urban,Medium,Yes,No,1
84.99,55.12,60.29,State,91.95,2,Allen,2.4,Mid,PG,Rural,Low,Yes,Yes,0
72.8,45.45,67.59,State,79.1,2,FIITJEE,6.3,High,Upto 10th,Semi-Urban,High,No,No,0
75.76,89.61,61.86,State,64.62,2,Local,3.0,High,Graduate,Semi-Urban,Medium,No,Yes,0
93.4,73.86,64.37,State,71.72,2,None,4.8,Mid,12th,Rural,Medium,Yes,Yes,0
79.11,62.33,78.1,State,74.52,2,None,2.7,Mid,Upto 10th,Urban,Low,Yes,No,0
79.54,47.81,70.21,ICSE,77.7,1,Allen,2.0,High,12th,Rural,High,No,No,0
87.02,52.85,75.32,State,75.22,2,FIITJEE,5.5,Low,12th,Rural,High,Yes,Yes,0
66.89,86.84,65.22,ICSE,77.81,1,Local,5.3,Low,12th,Rural,High,Yes,Yes,0
60.25,68.2,63.9,ICSE,74.09,2,None,6.8,Low,Upto 10th,Rural,Medium,Yes,Yes,0
57.37,57.19,54.16,ICSE,77.65,2,Allen,4.4,Mid,12th,Rural,Low,No,Yes,0
44.47,74.16,63.56,CBSE,70.39,2,Allen,8.9,Mid,Upto 10th,Rural,Medium,No,No,0
100.0,52.97,28.15,CBSE,71.62,2,Local,5.0,High,PG,Rural,Low,Yes,No,0
56.56,90.01,60.92,ICSE,69.24,1,Local,5.6,High,12th,Urban,Low,No,No,0
68.9,87.64,67.02,CBSE,94.17,2,Allen,1.8,High,Upto 10th,Rural,High,Yes,No,1
68.12,58.53,74.76,State,89.64,2,Allen,3.3,High,12th,Rural,Medium,No,Yes,0
76.3,55.94,64.78,ICSE,80.55,2,Allen,5.5,Low,Graduate,Rural,High,Yes,Yes,0
83.42,24.11,72.17,ICSE,88.25,1,FIITJEE,4.3,Mid,12th,Rural,Low,No,No,0
84.05,42.29,41.84,ICSE,82.98,2,Local,4.9,Mid,Graduate,Rural,Low,No,Yes,0
63.84,44.57,67.32,CBSE,76.81,1,Allen,2.9,Low,Graduate,Urban,High,No,No,1
69.66,68.16,47.85,CBSE,59.94,2,Local,4.7,High,12th,Semi-Urban,High,Yes,Yes,0
75.96,60.78,53.5,CBSE,72.38,2,Allen,4.7,High,12th,Semi-Urban,Low,Yes,No,0
68.52,44.47,65.75,State,71.65,2,Allen,2.1,Mid,Graduate,Rural,Medium,No,No,0
94.5,61.5,83.32,CBSE,63.67,2,Allen,5.8,High,PG,Urban,High,Yes,Yes,0
78.87,74.09,72.45,ICSE,60.14,2,Local,1.1,Mid,Upto 10th,Urban,Medium,Yes,No,0
82.29,74.45,68.22,CBSE,79.93,2,Allen,4.9,Low,12th,Urban,Low,No,No,1
81.28,35.61,67.77,CBSE,78.25,2,Allen,8.0,Mid,Graduate,Semi-Urban,High,Yes,No,0
88.43,63.95,59.44,CBSE,63.33,1,Local,5.9,Low,Upto 10th,Semi-Urban,High,No,Yes,0
74.53,43.87,61.47,CBSE,67.54,2,Allen,5.8,High,12th,Urban,Low,Yes,Yes,0
53.84,80.43,73.13,ICSE,86.61,2,None,2.7,Mid,Upto 10th,Semi-Urban,High,No,No,0
77.6,78.55,51.38,CBSE,66.22,1,None,8.0,High,Graduate,Semi-Urban,High,No,No,0
62.88,51.63,75.12,ICSE,76.71,2,Allen,7.3,High,12th,Rural,Medium,No,No,0
64.6,53.74,63.34,CBSE,73.1,2,FIITJEE,2.8,High,PG,Rural,High,Yes,Yes,0
80.21,58.62,77.91,State,80.06,1,Local,3.6,Mid,Upto 10th,Rural,Medium,No,No,0
89.34,29.96,79.53,State,66.44,2,Allen,7.0,High,12th,Urban,High,No,Yes,0
72.3,71.38,47.92,ICSE,75.9,2,Local,8.1,Mid,Upto 10th,Rural,High,No,No,0
76.32,61.63,61.02,ICSE,76.69,1,FIITJEE,2.0,High,Upto 10th,Urban,Low,No,Yes,0
95.83,81.52,57.73,State,77.3,1,FIITJEE,2.5,Low,12th,Rural,Low,Yes,No,1
75.37,48.43,46.25,State,75.79,2,Local,4.2,Mid,12th,Urban,High,Yes,No,0
100.0,56.09,55.61,CBSE,78.45,1,FIITJEE,0.2,Low,12th,Semi-Urban,Medium,No,No,1
79.92,41.9,97.3,State,96.92,1,FIITJEE,4.5,Low,Graduate,Urban,Low,Yes,No,1
47.35,49.93,75.31,ICSE,100.0,1,Local,6.9,Mid,12th,Semi-Urban,Low,Yes,Yes,1
82.55,47.09,91.01,ICSE,68.61,2,FIITJEE,1.6,Mid,Upto 10th,Rural,Low,Yes,No,0
77.34,81.94,77.95,State,51.82,2,None,4.8,Mid,12th,Semi-Urban,High,Yes,No,0
90.06,54.83,59.1,ICSE,80.95,1,Allen,3.3,High,Graduate,Semi-Urban,Medium,No,Yes,0
81.42,67.99,63.42,CBSE,76.86,1,None,7.8,High,Graduate,Rural,Medium,No,Yes,0
70.06,59.91,75.06,CBSE,85.61,1,None,3.4,Low,12th,Urban,High,Yes,No,1
54.86,45.69,73.25,State,77.85,1,Allen,7.5,Mid,Upto 10th,Urban,Low,No,Yes,0
69.07,63.31,61.07,ICSE,75.59,2,None,3.3,Low,Graduate,Urban,Medium,No,No,1
60.09,75.59,49.88,State,86.29,2,Allen,6.0,High,Upto 10th,Rural,Medium,Yes,Yes,0
63.87,46.68,100.0,ICSE,87.69,2,Allen,5.0,Low,PG,Urban,High,Yes,No,1
80.24,78.95,66.31,ICSE,61.13,2,Local,4.2,Low,Graduate,Semi-Urban,Medium,No,Yes,0
95.38,52.4,64.09,ICSE,66.83,1,Allen,2.9,Mid,PG,Rural,Medium,Yes,Yes,0
77.53,58.27,69.36,CBSE,73.94,2,Allen,5.1,Mid,Graduate,Urban,Low,No,No,0
55.26,74.49,65.09,ICSE,75.98,1,FIITJEE,3.6,Low,Upto 10th,Semi-Urban,Low,No,Yes,0
78.22,55.39,69.47,CBSE,72.74,1,FIITJEE,3.1,High,PG,Semi-Urban,Low,Yes,Yes,0
88.75,66.6,83.44,ICSE,79.34,1,None,7.4,Low,Upto 10th,Urban,Medium,Yes,No,1
63.46,60.96,66.51,State,84.96,1,Allen,5.6,High,Graduate,Rural,Low,Yes,Yes,0
70.12,68.07,54.05,CBSE,92.23,2,Allen,5.8,Low,Upto 10th,Semi-Urban,High,Yes,No,1
72.21,27.91,66.06,CBSE,80.79,1,Local,3.7,Low,PG,Semi-Urban,Low,No,No,1
61.01,36.73,62.43,CBSE,66.48,1,Allen,4.1,Mid,12th,Semi-Urban,Low,Yes,Yes,0
81.08,75.86,85.09,State,73.53,1,Local,4.0,Low,12th,Semi-Urban,Medium,No,Yes,0
70.31,82.59,82.05,CBSE,74.25,1,Allen,5.2,High,Graduate,Urban,Low,Yes,No,0
77.87,51.43,69.29,State,80.15,2,FIITJEE,5.8,Low,12th,Rural,High,Yes,No,1
59.58,62.1,52.66,ICSE,78.88,1,FIITJEE,4.4,Low,Graduate,Semi-Urban,Low,Yes,Yes,0
65.88,70.72,53.29,ICSE,95.5,2,FIITJEE,2.9,High,Upto 10th,Semi-Urban,Low,Yes,No,0
82.11,77.09,68.18,State,70.38,1,None,6.0,Low,Upto 10th,Semi-Urban,High,Yes,Yes,0
66.78,33.56,72.04,CBSE,78.85,2,Allen,4.6,Low,PG,Rural,High,Yes,Yes,0
96.18,51.82,63.5,CBSE,98.55,1,FIITJEE,1.6,Low,PG,Semi-Urban,Low,No,Yes,0
66.41,60.68,62.24,State,69.15,1,Local,0.2,Low,12th,Rural,Medium,No,Yes,0
75.15,77.25,60.89,ICSE,76.45,2,FIITJEE,5.1,High,Upto 10th,Rural,High,Yes,No,0
